Subject ID, Ref, Near, Distance of Near from Near - Distance of Near from Ref, Distance of Ref from Near - Distance of Ref from Ref
3898,pink_cylinder_placard,frog_placard,-0.028447740991726856,-0.013879623008599306
3898,blue_cube_placard,airplane_placard,0.10847537689532825,0.11101734791739994
3898,red_ball_placard,book_placard,-0.0019428507264318137,0.0014899842806958725
3898,yellow_pyramid_placard,lion_placard,-0.059272318796295985,0.03326046224701399
3898,orange_box_placard,car_placard,-0.018458780282509257,0.035374727438397285
3898,green_cone_placard,raptor_placard,0,0
3899,pink_cylinder_placard,frog_placard,0.07261440421708912,0.029398571691234356
3899,blue_cube_placard,airplane_placard,-0.034851246450000026,-0.03835213679495618
3899,red_ball_placard,book_placard,0.07318004852192458,0.05251141761740049
3899,yellow_pyramid_placard,lion_placard,0.036200107838127694,0.04685162274156216
3899,orange_box_placard,car_placard,-0.07077708713071057,0.18863515698144007
3899,green_cone_placard,raptor_placard,-0.005019632732154618,0.026786400818975993
3918,pink_cylinder_placard,cow_placard,0.0005437611116339331,0.07971223154001766
3918,blue_cube_placard,boat_placard,-0.03667037766662579,0.0012778826246056894
3918,red_ball_placard,pooh_placard,-0.004881953411829422,0.0018940831068903208
3918,yellow_pyramid_placard,hippo_placard,-0.13683973295641258,-0.06309770153602585
3918,orange_box_placard,elephant_placard,-0.0008322797482833266,0.06042596849302451
3918,green_cone_placard,duck_placard,0.033450367355666984,0.06939703087445419
3920,pink_cylinder_placard,cow_placard,-0.016037086291224554,0.037429699372454626
3920,blue_cube_placard,boat_placard,-0.34291517321458637,-0.02987452138925797
3920,red_ball_placard,pooh_placard,-0.014993490200320167,-0.013151701112190167
3920,yellow_pyramid_placard,hippo_placard,0.0036881080554199536,0.004141678034581922
3920,orange_box_placard,elephant_placard,0.0003691397640588028,0.002890085660760383
3920,green_cone_placard,duck_placard,-0.023687121166557364,-0.023659145395303595
3927,pink_cylinder_placard,cow_placard,0.0025216881826897893,0.05532027566693274
3927,blue_cube_placard,boat_placard,0.10309922775937891,-0.0017886453633530973
3927,red_ball_placard,pooh_placard,-0.019612627400465273,0.005464633119963976
3927,yellow_pyramid_placard,hippo_placard,-0.0001373260472953487,0.0018096639671259457
3927,orange_box_placard,elephant_placard,-0.010608847277488667,-0.004523866182093376
3927,green_cone_placard,duck_placard,0.03867669293752194,0.03089659450177831
3930,pink_cylinder_placard,cow_placard,-0.056601431719301376,0.014252584820630354
3930,blue_cube_placard,boat_placard,-0.026144548755837604,-0.007982849796580803
3930,red_ball_placard,pooh_placard,0.0068605014129535305,0.0009950163380597673
3930,yellow_pyramid_placard,hippo_placard,-0.004185539239856715,-0.002267933793758091
